Code,Description,Project
0.0,,BR2
1.0,OK,BR2
2.0,ONLINE,BR2
3.0,RUNUP,BR2
4.0,MAINTENANCE,BR2
5.0,REPAIR,BR2
6.0,GRID LOSS,BR2
7.0,WEATHER OUTAGE,BR2
8.0,EXTERNAL STOP,BR2
9.0,MANUAL STOP,BR2
11.0,E-STOP,BR2
12.0,EXTERNAL CURTAILMENT,BR2
13.0,CUSTOMER STOP,BR2
14.0,MANUAL IDLE,BR2
16.0,INTERNAL CURTAILMENT,BR2
17.0,,BR2
18.0,,BR2
19.0,,BR2
20.0,,BR2
21.0,,BR2
22.0,,BR2
23.0,,BR2
24.0,,BR2
25.0,,BR2
26.0,,BR2
27.0,,BR2
28.0,,BR2
29.0,,BR2
30.0,,BR2
31.0,,BR2
32.0,,BR2
33.0,,BR2
34.0,,BR2
35.0,,BR2
36.0,,BR2
37.0,,BR2
38.0,,BR2
39.0,,BR2
40.0,,BR2
41.0,,BR2
42.0,,BR2
43.0,,BR2
44.0,,BR2
45.0,,BR2
46.0,,BR2
47.0,,BR2
48.0,,BR2
49.0,,BR2
50.0,,BR2
51.0,,BR2
52.0,,BR2
53.0,,BR2
54.0,,BR2
55.0,,BR2
56.0,,BR2
57.0,,BR2
58.0,,BR2
59.0,,BR2
60.0,,BR2
61.0,,BR2
62.0,,BR2
63.0,,BR2
64.0,,BR2
65.0,,BR2
66.0,,BR2
67.0,,BR2
68.0,,BR2
69.0,,BR2
70.0,,BR2
71.0,,BR2
72.0,,BR2
73.0,,BR2
74.0,,BR2
75.0,,BR2
76.0,,BR2
77.0,,BR2
78.0,,BR2
79.0,,BR2
80.0,,BR2
81.0,,BR2
82.0,,BR2
83.0,,BR2
84.0,,BR2
85.0,,BR2
86.0,,BR2
87.0,,BR2
88.0,,BR2
89.0,,BR2
90.0,,BR2
91.0,,BR2
92.0,,BR2
93.0,,BR2
94.0,,BR2
95.0,,BR2
96.0,,BR2
97.0,,BR2
98.0,,BR2
99.0,,BR2
100.0,,BR2
101.0,,BR2
102.0,,BR2
103.0,,BR2
104.0,,BR2
105.0,,BR2
106.0,,BR2
107.0,,BR2
108.0,,BR2
109.0,,BR2
110.0,,BR2
111.0,,BR2
112.0,,BR2
113.0,,BR2
114.0,,BR2
115.0,,BR2
116.0,,BR2
117.0,,BR2
118.0,,BR2
119.0,,BR2
120.0,,BR2
121.0,,BR2
122.0,,BR2
123.0,,BR2
124.0,,BR2
125.0,,BR2
126.0,,BR2
127.0,,BR2
128.0,,BR2
129.0,,BR2
130.0,,BR2
131.0,,BR2
132.0,,BR2
133.0,,BR2
134.0,,BR2
135.0,,BR2
136.0,,BR2
137.0,,BR2
138.0,,BR2
139.0,,BR2
140.0,,BR2
141.0,,BR2
142.0,,BR2
143.0,,BR2
144.0,,BR2
145.0,,BR2
146.0,,BR2
147.0,,BR2
148.0,,BR2
149.0,,BR2
150.0,,BR2
151.0,,BR2
152.0,,BR2
153.0,,BR2
154.0,,BR2
155.0,,BR2
156.0,,BR2
157.0,,BR2
158.0,,BR2
159.0,,BR2
160.0,,BR2
161.0,,BR2
162.0,,BR2
163.0,,BR2
164.0,,BR2
165.0,,BR2
166.0,,BR2
167.0,,BR2
168.0,,BR2
169.0,,BR2
170.0,,BR2
171.0,,BR2
172.0,,BR2
173.0,,BR2
174.0,,BR2
175.0,,BR2
176.0,,BR2
177.0,,BR2
178.0,,BR2
179.0,,BR2
180.0,,BR2
181.0,,BR2
182.0,,BR2
183.0,,BR2
184.0,,BR2
185.0,,BR2
186.0,,BR2
187.0,,BR2
188.0,,BR2
189.0,,BR2
190.0,,BR2
191.0,,BR2
192.0,,BR2
193.0,,BR2
194.0,,BR2
195.0,,BR2
196.0,,BR2
197.0,,BR2
198.0,,BR2
199.0,,BR2
200.0,,BR2
201.0,,BR2
202.0,,BR2
203.0,,BR2
204.0,,BR2
205.0,,BR2
206.0,,BR2
207.0,,BR2
208.0,,BR2
209.0,,BR2
210.0,,BR2
211.0,,BR2
212.0,,BR2
213.0,,BR2
214.0,,BR2
215.0,,BR2
216.0,,BR2
217.0,,BR2
218.0,,BR2
219.0,,BR2
220.0,,BR2
221.0,,BR2
222.0,,BR2
223.0,,BR2
224.0,,BR2
225.0,,BR2
226.0,,BR2
227.0,,BR2
228.0,,BR2
229.0,,BR2
230.0,,BR2
231.0,,BR2
232.0,,BR2
233.0,,BR2
234.0,,BR2
235.0,,BR2
236.0,,BR2
237.0,,BR2
238.0,,BR2
239.0,,BR2
240.0,,BR2
241.0,,BR2
242.0,,BR2
243.0,,BR2
244.0,,BR2
245.0,,BR2
246.0,,BR2
247.0,,BR2
248.0,,BR2
249.0,,BR2
250.0,,BR2
251.0,,BR2
252.0,,BR2
253.0,,BR2
254.0,,BR2
255.0,,BR2
256.0,,BR2
257.0,,BR2
258.0,,BR2
259.0,,BR2
260.0,,BR2
261.0,,BR2
262.0,,BR2
263.0,,BR2
264.0,,BR2
265.0,,BR2
266.0,,BR2
267.0,,BR2
268.0,,BR2
269.0,,BR2
270.0,,BR2
271.0,,BR2
272.0,,BR2
273.0,,BR2
274.0,,BR2
275.0,,BR2
276.0,,BR2
277.0,,BR2
278.0,,BR2
279.0,,BR2
280.0,,BR2
281.0,,BR2
282.0,,BR2
283.0,,BR2
284.0,,BR2
285.0,,BR2
286.0,,BR2
287.0,,BR2
288.0,,BR2
289.0,,BR2
290.0,,BR2
291.0,,BR2
292.0,,BR2
293.0,,BR2
294.0,,BR2
295.0,,BR2
296.0,,BR2
297.0,,BR2
298.0,,BR2
299.0,,BR2
300.0,,BR2
301.0,,BR2
302.0,,BR2
303.0,,BR2
304.0,,BR2
305.0,,BR2
306.0,,BR2
307.0,,BR2
308.0,,BR2
309.0,,BR2
