,Raw - Percent Missing,Raw - Count Missing,gradient_filtered_data - Percent Removed,gradient_filtered_data - Count Removed,range_filtered_data - Percent Removed,range_filtered_data - Count Removed,online_filtered_data_map - Percent Removed,online_filtered_data_map - Count Removed,Full Clean - Percent Missing,Full Clean - Count Missing
BR2-K001-BLADE-ANGLE-A,0.0,0,17.63888888888889,762,0.0,0,12.268518518518519,530,29.907407407407405,1292
BR2-K003-BLADE-ANGLE-A,0.0,0,22.962962962962962,992,0.0,0,15.972222222222221,690,38.93518518518518,1682
BR2-K001-BLADE-ANGLE-B,0.0,0,17.800925925925924,769,0.0,0,12.592592592592592,544,30.39351851851852,1313
BR2-K003-BLADE-ANGLE-B,0.0,0,22.75462962962963,983,0.0,0,16.11111111111111,696,38.86574074074074,1679
BR2-K001-BLADE-ANGLE-C,0.0,0,18.00925925925926,778,0.0,0,12.314814814814815,532,30.324074074074076,1310
BR2-K003-BLADE-ANGLE-C,0.0,0,22.939814814814817,991,0.0,0,15.76388888888889,681,38.7037037037037,1672
BR2-K001-DEN-CPM-WIND-SPD-CALC,0.0,0,5.138888888888888,222,0.0,0,20.97222222222222,906,26.111111111111114,1128
BR2-K003-DEN-CPM-WIND-SPD-CALC,0.0,0,5.138888888888888,222,0.0,0,29.88425925925926,1291,35.023148148148145,1513
BR2-K001-EXPCTD-KW-CALC,0.0,0,5.138888888888888,222,2.569444444444444,111,18.40277777777778,795,26.111111111111114,1128
BR2-K003-EXPCTD-KW-CALC,0.0,0,5.138888888888888,222,2.314814814814815,100,27.569444444444446,1191,35.023148148148145,1513
BR2-K001-GBX-LUBOIL-T-C,0.0,0,5.578703703703704,241,0.0,0,20.97222222222222,906,26.550925925925927,1147
BR2-K003-GBX-LUBOIL-T-C,0.0,0,5.578703703703704,241,0.0,0,29.88425925925926,1291,35.46296296296296,1532
BR2-K001-GEN-BRG-DE-T-C,0.0,0,6.041666666666667,261,0.0,0,20.97222222222222,906,27.013888888888886,1167
BR2-K003-GEN-BRG-DE-T-C,0.0,0,6.296296296296296,272,0.0,0,29.166666666666668,1260,35.46296296296296,1532
